N	gene	beta	pval
3867	Atp11b	-2.67097491120263	3.31145644932871e-13
3870	Atp13a1	3.53416940481313	0.00327811825670806
3871	Atp13a2	-2.5751836681754	0.759713292564476
3879	Atp1b1	-5.30056608668459	9.22960310808778e-12
3881	Atp1b3	29.958973865891	4.41610193866289e-06
3886	Atp2a3	-31.5390756310802	0.000986530582541142
3887	Atp2b1	-9.52450365458002	0.0756238865374951
3890	Atp2b4	-2.547224839447	0.00527604752074312
3895	Atp5a1	4.66885826596355	4.92968430605367e-07
3896	Atp5b	7.99489700911536	6.15785592690586e-07
3899	Atp5d	-2.11171094762915	8.24322950400916e-07
3903	Atp5g3	2.40157469672396	7.18375488135027e-08
3904	Atp5h	2.92514187624932	4.45690309573228e-13
3905	Atp5j	2.11864116624951	4.84785124600508e-10
3906	Atp5j2	2.12862142558228	6.14704218980578e-11
3916	Atp5pb	-2.16081142244762	0.0010822096636173
3920	Atp6ap2	3.40081851993368	0.00376947559955547
3922	Atp6v0a2	-6.8276439713847	0.0661780733711757
3930	Atp6v0e	-2.55267090555664	7.47810469386813e-07
3937	Atp6v1d	7.45336490217045	3.9027907767464e-10
3938	Atp6v1e1	-2.23015869477669	0.208092898144483
3949	Atp8a2	3.86059641511173	5.822001381622e-05
3951	Atp8b2	-6.30384257061448	5.29208078450968e-10
3953	Atp8b4	-10.8457343162268	5.73499281617581e-05
3968	Atxn10	3.14500601400153	1.51367116210667e-05
3971	Atxn2l	-2.01254172460531	1.62767184527257e-05
3988	AU020206	-12.8416020184885	2.30313376126014e-07
4022	AW112010	-223.553846192077	0.00312725750569658
4025	AW549877	4.73481280073698	4.6708666503688e-11
4043	Azi2	-12.1929082916562	6.62107083103308e-08
4044	Azin1	-2.61607917125157	0.414756750896903
4098	B2m	-6.05269887135843	0.0640387090333939
4101	B3galnt2	2.52186841007273	9.54980908371992e-06
4114	B3gnt5	-7.4260938582381	4.92752271082442e-07
4116	B3gnt7	-3.81895332638748	1.27787112041614e-05
4129	B4galnt1	8.73997768309702	6.31525945661704e-07
4133	B4galt1	-2.16259622259755	0.23383513397832
4137	B4galt5	-3.34301850667918	5.85037197990189e-05
4139	B4galt7	-3.73596104719294	9.35273612674593e-05
4165	Bach2	4.0907007966114	5.82906298434407e-07
4177	Baiap2	-2.35505568092068	0.0169964196877754
4180	Baiap3	-24.8590627725876	1.0332443876563e-05
4183	Bambi-ps1	3.18620148357232	1.14556470696175e-08
4184	Banf1	2.46764244211115	1.72980265642269e-06
4200	Baz1a	-4.08960439450062	5.08878653630454e-08
4224	Bbs9	2.00080994002028	0.0452672251834374
4256	BC035044	10.2235882212215	2.89308509623685e-06
4294	BC064078	-2.75737989731063	0.683398792894257
4307	Bcap29	2.3727519631295	0.00164441139103095
4324	Bckdk	2.30777641988067	2.20101974783302e-06
4327	Bcl11b	25.6877602495722	3.27280868441082e-05
4328	Bcl2	4.78501645661557	0.285228080950337
4333	Bcl2l1	-5.6856050509955	1.19698558395987e-05
4335	Bcl2l11	-4.54301280922868	1
4347	Bcl9	2.51366440512606	0.0109952988509823
4349	Bclaf1	6.08601775630496	2.86465342690635e-07
4350	Bclaf3	-2.4271398514864	1.12494606753795e-06
4357	Bdh1	2.85010855676173	2.78069615439348e-05
4363	BE692007	11.4655060728285	2.14230965137291e-07
4393	Bhlhe40	-17.072213654727	3.13492500289036e-06
4400	Bicdl1	3.02150394562014	0.0123296914492653
4404	Bid	-3.85464785786307	0.00222059573172668
4407	Bin2	-16.1596973393491	0.204886963914903
4408	Bin3	-2.38893060665204	6.70771043856703e-05
4409	Birc2	3.5137755663114	2.59892153600339e-05
4412	Birc6	-2.60855900803871	2.69993059206476e-11
4458	Bnip2	-3.33031654428607	0.11226410933496
4476	Borcs7	-7.03744349905274	0.00144061303175051
4523	Brk1	-2.88818546488994	1.96655218825567e-05
4534	Bscl2	-5.22324936649665	2.88352797697689e-07
4536	Bsg	-7.2954831287123	0.0026682388112757
4537	Bsn	-3.02554219734681	1
4544	Bst2	2.18805480573623	5.19587491310614e-06
4564	Btf3	-2.37012070079857	3.87354988350683e-10
4566	Btg1	2.90798420108836	1.27601332049181e-06
4569	Btg2	-5.11855735105211	0.497530581905726
4573	Btla	8.85377088343018	0.000535673909576138
4598	Bzw2	13.2332843459883	7.72431271052675e-10
4651	C1qbp	4.43001813097185	0.0458161253478943
4688	C230085N15Rik	23.3724562572649	0.862971047166741
4780	Cab39	-2.51709402270763	0.362111460658701
4842	Calhm2	-7.26500529534998	0.00885410221713263
4847	Calm1	-20.8481470343963	1
4848	Calm2	-26.1893510162644	0.772816624512247
4849	Calm3	-8.80989647514566	1.49508757099554e-11
4867	Camk2g	-8.89356681552276	0.264414731975732
4870	Camk4	7.54532931655282	1.03066771921687e-06
4885	Canx	-4.34098091253674	8.46515147500086e-07
4886	Cap1	-6.05088258028954	1
4895	Capn2	-14.3527647538218	0.476236854446151
4904	Caprin1	3.68618643064046	1
4910	Capza2	-6.76948951692033	0.0237767200021448
4911	Capzb	-16.8098068847398	2.27052200926361e-13
4919	Car2	-17.7827613571048	0.00239030195505048
4923	Car5b	-3.74088804827585	0.00421186185631387
4931	Card19	-2.99695765920294	0.111105627171354
4935	Carhsp1	-3.39394017411176	2.37893200160985e-05
4939	Carmil2	3.19512237914785	0.728129624044283
4954	Casp1	-7.48680929417427	2.58839800371414e-06
4959	Casp3	-3.4070288238638	0.664522012915984
4960	Casp4	-2.83238847803708	0.000189318126321208
4962	Casp7	-2.13477449849358	0.000440737219788182
4963	Casp8	2.88237485032221	0.401138976952915
4965	Casp9	-4.05344480152583	0.000885491714476377
4996	Cbfa2t3	-2.15629890379965	0.0894646270845781
4998	Cbl	-9.6810919946943	0.197156622244232
4999	Cblb	-5.4681022859526	1
5020	Cbx4	2.49043175747708	0.573054989251166
5023	Cbx7	2.57496032540974	0.229482457815103
5028	Cc2d1a	3.36397560224448	5.43391400743108e-08
5029	Cc2d1b	2.5072966149742	0.21590018030748
5039	Ccdc107	2.05466489928015	0.814578554119334
5046	Ccdc117	-2.0688817031455	1
5129	Ccdc50	-8.73892365501928	0.0104992816984638
5167	Ccdc88c	-3.83535314433791	0.03046238897733
5195	Ccl3	-7.83327245606747	0.00490385540873748
5196	Ccl4	-8.69261404618814	0.00422561774664748
5197	Ccl5	-312.166928759217	0.200891726139378
5202	Ccm2	9.7003115116536	0.0170534596623124
5218	Ccnc	-2.00735207676425	8.80607661513005e-05
5220	Ccnd2	8.30243450904536	0.00159291959716856
5221	Ccnd3	-30.6289193089557	2.96492017023448e-07
5234	Ccnl1	3.55673395089178	1.71569404528537e-05
5235	Ccnl2	-2.76247166434915	9.0157900367336e-08
5248	Ccr2	-77.0295637186728	0.17361318002134
5251	Ccr5	-35.8905326344095	0.196104886492005
5253	Ccr7	91.7135628684218	5.57704555279493e-08
5255	Ccr9	47.7231935278378	2.99544946792017e-06
5257	Ccs	2.52837337829843	0.00556961286525376
5261	Cct2	7.15371174802973	0.448801920561765
5262	Cct3	5.20553102697432	1.59357771748736e-06
5264	Cct4	2.13098133575118	0.243273126856327
5265	Cct5	7.52903064174166	0.0601273888155207
5266	Cct6a	5.15194467513611	0.000478106129882546
5268	Cct7	4.06865972769088	1.00300135681452e-06
5269	Cct8	4.72472198652216	0.079045711493982
5276	Cd160	-11.4970254816969	0.0917106745591657
5278	Cd163l1	-3.07713203250769	1.32407355041393e-05
5279	Cd164	-4.98740271199821	0.0132134347138492
5286	Cd2	-4.0198447704209	0.165860720324342
5291	Cd200r4	-6.73720480831094	2.69881458814935e-07
5301	Cd226	8.15772304114658	3.51465356859879e-06
5302	Cd244a	-8.6512463857724	9.93035974603301e-12
5303	Cd247	12.5645765693031	9.85170202876636e-06
5306	Cd27	16.061158792176	0.370381867578671
5309	Cd28	22.2564868061984	0.109757153939874
5310	Cd2ap	3.1499552099234	1.2950749858247e-05
5326	Cd37	44.6672249859267	2.04716250142373e-09
5327	Cd38	-4.84329976039019	0.000986247645282837
5328	Cd3d	49.0469349475597	1.30568344935853e-15
5329	Cd3e	50.2712602538216	1.50233630273564e-16
5331	Cd3g	15.1123905011242	6.38104772455505e-11
5332	Cd4	22.4327150527161	1.59777633648087e-13
5335	Cd44	-37.7478542946872	6.04971132084674e-11
5337	Cd47	-23.1090752304152	2.04644941921023e-07
5338	Cd48	-23.8671492065516	0.000645096591939121
5339	Cd5	17.4858421714027	2.12838320856036e-05
5340	Cd52	16.5037939920353	5.43225800414899e-06
5341	Cd53	13.0187826947505	0.0799029129574874
5348	Cd6	42.0760447458376	1.91417129330474e-09
5352	Cd69	5.02399943713324	0.112058848413191
5353	Cd7	-22.762939117681	0.0847241779558198
5354	Cd72	-7.39794696038575	0.082823638543305
5355	Cd74	8.54983177073569	3.55972692324014e-05
5359	Cd81	3.11038892340722	0.00014259327915626
5360	Cd82	102.121489964135	7.64444775422114e-18
5362	Cd84	-5.38243467254146	0.00389090961596217
5364	Cd8a	3.00652557932482	9.564739170869e-18
5365	Cd8b1	2.49969263468395	1.42142549265184e-24
5366	Cd9	-20.1276925996781	8.63384291794999e-06
5369	Cd96	8.01094786299821	0.035674533121946
5376	Cdc14b	-2.86362624936926	2.24585412709956e-07
5379	Cdc20b	-2.2352745702157	0.797094982325496
5380	Cdc23	2.28780990617892	0.00806685516534065
5382	Cdc25b	-2.35159567408684	1
5391	Cdc42	-43.389714620375	0.284985907707635
5397	Cdc42ep3	-6.38802568948096	9.86501870871625e-05
5400	Cdc42se1	2.29923009518213	1
5401	Cdc42se2	10.8576617753522	0.000123710281621075
5412	Cdca7l	-5.50297453055862	0.00630756029933916
5429	Cdh22	-2.02536981188648	0.185421764941302
5430	Cdh23	2.00984775691798	0.0012194414087005
5445	Cdip1	3.5789965796602	1
5446	Cdipt	10.2373365692504	1.30967386047737e-06
5463	Cdk2ap2	7.7213643353352	6.63423751340552e-09
